<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.02	19:15:00	1.04922	1.04989	1.04891	1.04934	1482	0	2
2024.12.02	19:30:00	1.04933	1.04956	1.04854	1.04858	1563	0	2
2024.12.02	19:45:00	1.04857	1.04876	1.04826	1.04876	1283	0	2
2024.12.02	20:00:00	1.04877	1.04910	1.04856	1.04904	1028	0	2
2024.12.02	20:15:00	1.04904	1.04931	1.04880	1.04906	1112	0	2
2024.12.02	20:30:00	1.04906	1.04906	1.04870	1.04885	963	0	2
2024.12.02	20:45:00	1.04886	1.04913	1.04846	1.04897	837	0	2
2024.12.02	21:00:00	1.04896	1.04925	1.04874	1.04902	1168	0	2
2024.12.02	21:15:00	1.04902	1.04944	1.04896	1.04918	942	0	2
2024.12.02	21:30:00	1.04918	1.04927	1.04891	1.04920	752	0	2
2024.12.02	21:45:00	1.04920	1.04932	1.04882	1.04903	866	0	2
2024.12.02	22:00:00	1.04903	1.04931	1.04886	1.04900	698	0	2
2024.12.02	22:15:00	1.04901	1.05161	1.04900	1.05091	3529	0	2
2024.12.02	22:30:00	1.05091	1.05150	1.05059	1.05076	2064	0	2
2024.12.02	22:45:00	1.05076	1.05091	1.04995	1.05000	1195	0	2
2024.12.02	23:00:00	1.05000	1.05029	1.04968	1.05013	716	0	2
2024.12.02	23:15:00	1.05013	1.05015	1.04974	1.04982	389	0	2
2024.12.02	23:30:00	1.04982	1.04991	1.04965	1.04973	230	0	2
2024.12.02	23:45:00	1.04973	1.04989	1.04972	1.04977	166	0	27
2024.12.03	00:00:00	1.04972	1.04989	1.04970	1.04987	102	0	26
2024.12.03	00:15:00	1.04987	1.04997	1.04974	1.04993	179	0	26
2024.12.03	00:30:00	1.04994	1.04997	1.04972	1.04972	132	0	25
2024.12.03	00:45:00	1.04972	1.04984	1.04932	1.04954	184	0	25
2024.12.03	01:00:00	1.04954	1.05002	1.04954	1.04974	325	0	2
2024.12.03	01:15:00	1.04974	1.05005	1.04973	1.04994	485	0	2
2024.12.03	01:30:00	1.04994	1.05005	1.04987	1.05003	433	0	2
2024.12.03	01:45:00	1.05003	1.05015	1.04999	1.05007	396	0	2
