entry_time,result,wick_ratio,body_strength,is_doji,momentum_3,dist_to_swing_low,dist_to_swing_high,candle_vs_atr,volume
2024-12-06 09:45:00,win,0.05839416058384341,0.9416058394161566,False,0.0010300000000000864,0.0017800000000001148,0.000140000000000029,2.8164464023492286,1500.0
2024-12-06 15:30:00,loss,0.29227557411274463,0.7077244258872554,False,0.0035600000000000076,0.0049399999999999444,0.0022800000000000598,4.909224011713023,11223.0
2024-12-06 22:30:00,loss,0.3846153846157131,0.6153846153842869,False,0.0009099999999999664,0.0021199999999998997,0.006630000000000136,0.7436159346272987,604.0
2024-12-09 08:15:00,win,0.821428571428628,0.17857142857137193,True,0.00034000000000000696,0.0007600000000000939,0.002969999999999917,1.073972602739936,809.0
2024-12-09 17:45:00,loss,0.455128205128196,0.544871794871804,False,0.0018200000000001548,0.003449999999999953,0.000460000000000127,1.601173020527854,2239.0
2024-12-10 01:00:00,loss,0.31578947368488713,0.6842105263151129,False,0.00012000000000012001,0.0008099999999999774,0.00391000000000008,0.5009416195860281,287.0
2024-12-10 07:45:00,loss,0.315789473683903,0.684210526316097,False,0.0006700000000001705,0.0017000000000000348,6.000000000017103e-05,0.9284467713787492,786.0
2024-12-12 15:45:00,loss,0.42937853107348745,0.5706214689265126,False,0.00022999999999995246,0.0015300000000000313,0.0046200000000000685,1.6007751937985006,3989.0
2024-12-24 04:15:00,loss,0.1666666666669408,0.8333333333330593,False,0.0002500000000000835,0.0005100000000000104,0.0011200000000000099,1.5882352941177185,332.0
2025-01-14 14:45:00,loss,0.44943820224736203,0.550561797752638,False,0.0005100000000000104,0.0008500000000000174,0.002689999999999859,1.1431192660550824,902.0
2025-01-15 08:30:00,loss,0.6799999999997869,0.32000000000021317,False,0.00038999999999989043,0.000520000000000076,0.0011399999999999189,0.6822612085771563,313.0
2025-01-21 15:00:00,win,0.20289855072465635,0.7971014492753437,False,0.00034000000000000696,0.0017799999999998928,0.0026600000000001067,0.7918032786886309,1053.0
2025-01-22 06:15:00,loss,0.43243243243228646,0.5675675675677135,False,0.0005599999999998939,0.00270999999999999,0.0013700000000000934,0.7154696132596192,228.0
2025-01-22 10:45:00,win,0.4307692307690994,0.5692307692309007,False,0.0008799999999999919,0.0023400000000000087,1.999999999990898e-05,0.8674928503334534,1031.0
2025-01-22 22:00:00,loss,0.5686274509806226,0.4313725490193773,False,7.00000000000145e-05,0.0010399999999999299,0.0023500000000000743,0.9944289693593875,403.0
2025-01-23 03:00:00,loss,0.29032258064524213,0.7096774193547578,False,0.0005900000000000905,0.0009300000000000974,0.0008299999999998864,2.028037383177648,458.0
2025-01-23 11:15:00,loss,0.7571428571428255,0.24285714285717458,False,0.0011799999999999589,0.0014799999999999258,0.0008099999999999774,0.970297029702885,938.0
2025-01-24 02:00:00,loss,0.3692307692309006,0.6307692307690994,False,0.0003799999999998249,0.0016399999999998638,0.0018000000000000238,1.9569892473111667,338.0
2025-01-24 16:45:00,loss,0.1294117647058132,0.8705882352941868,False,0.0017900000000001803,0.0044399999999999995,0.002349999999999852,1.9734660033167604,1714.0
2025-01-27 09:30:00,loss,0.18348623853228763,0.8165137614677124,False,0.0011600000000000499,0.0017000000000000348,0.0008200000000000429,1.9664948453610038,872.0
2025-01-27 22:30:00,loss,0.5370370370372807,0.46296296296271927,False,0.00010999999999983245,0.0014600000000000168,0.003940000000000055,0.9264705882352493,462.0
2025-01-28 08:00:00,loss,0.18309859154924732,0.8169014084507527,False,0.00042999999999993044,0.0017899999999999583,0.005079999999999973,1.417974322396561,543.0
2025-01-28 16:30:00,loss,0.9255319148935969,0.07446808510640308,True,0.0007699999999999374,0.0019099999999998563,0.0011499999999999844,1.3414882772680266,1222.0
2025-01-29 08:30:00,loss,0.684210526316097,0.315789473683903,False,0.00019999999999997797,0.0016499999999999293,0.00011999999999989797,1.0431372549021138,404.0
2025-02-13 18:00:00,loss,0.3301886792453324,0.6698113207546675,False,0.0015199999999999658,0.006569999999999965,0.00022999999999995246,0.751012145749031,894.0
2025-02-17 03:15:00,loss,0.32530120481904506,0.674698795180955,False,0.0009200000000000319,0.0014100000000001334,0.0010099999999999554,1.862179487179358,462.0
2025-02-17 12:00:00,loss,0.1473684210526611,0.8526315789473389,False,0.00036999999999998145,0.0011300000000000754,0.0021299999999999653,1.3516260162601315,595.0
2025-02-17 23:45:00,loss,0.7272727272730943,0.2727272727269057,False,0.00014999999999987246,0.0012900000000000134,8.000000000008001e-05,0.6525423728816406,85.0
2025-02-18 02:00:00,loss,0.8928571428572561,0.10714285714274385,True,0.0006299999999999084,0.0010299999999998644,6.000000000017103e-05,0.8218029350106242,422.0
2025-02-18 17:30:00,loss,0.7580645161292633,0.24193548387073668,False,0.0005499999999998284,0.0016099999999998893,0.0011600000000000499,0.8654037886341707,654.0
2025-02-19 00:45:00,loss,0.27272727272708924,0.7272727272729108,False,0.00048000000000003595,0.0015199999999999658,0.0019299999999999873,0.8936170212764935,143.0
2025-02-19 07:45:00,loss,0.3030303030303234,0.6969696969696766,False,0.0004799999999998139,0.0015399999999998748,0.00020999999999982144,1.1785714285712423,384.0
2025-02-21 16:45:00,loss,0.8943661971830303,0.10563380281696969,True,0.0005700000000001815,0.0021700000000000053,0.0018699999999998163,1.887939221272457,1227.0
2025-02-24 00:30:00,win,0.14457831325313775,0.8554216867468623,False,0.0012100000000001554,0.0021900000000001363,0.0014899999999999913,2.1399631675879136,380.0
