index,time,score,orderblock,fvg,liquidity_sweep,bos,volume_cluster
117,2024-12-03 05:15:00,2,True,False,False,False,True
118,2024-12-03 05:30:00,3,True,False,False,True,True
119,2024-12-03 05:45:00,1,True,False,False,False,False
120,2024-12-03 06:00:00,1,True,False,False,False,False
121,2024-12-03 06:15:00,2,True,False,True,False,False
122,2024-12-03 06:30:00,2,True,False,True,False,False
123,2024-12-03 06:45:00,2,True,False,True,False,False
124,2024-12-03 07:00:00,2,True,False,True,False,False
125,2024-12-03 07:15:00,1,True,False,False,False,False
126,2024-12-03 07:30:00,2,True,False,False,True,False
127,2024-12-03 07:45:00,2,True,False,False,True,False
128,2024-12-03 08:00:00,2,True,False,False,True,False
129,2024-12-03 08:15:00,1,True,False,False,False,False
130,2024-12-03 08:30:00,1,True,False,False,False,False
131,2024-12-03 08:45:00,2,True,False,True,False,False
132,2024-12-03 09:00:00,3,True,False,False,True,True
133,2024-12-03 09:15:00,3,True,False,False,True,True
134,2024-12-03 09:30:00,3,True,False,False,True,True
135,2024-12-03 09:45:00,2,True,False,False,False,True
136,2024-12-03 10:00:00,2,True,False,False,False,True
137,2024-12-03 10:15:00,3,True,False,False,True,True
138,2024-12-03 10:30:00,3,True,False,False,True,True
139,2024-12-03 10:45:00,2,True,False,False,False,True
140,2024-12-03 11:00:00,3,True,False,False,True,True
141,2024-12-03 11:15:00,3,True,False,False,True,True
142,2024-12-03 11:30:00,2,True,False,False,False,True
143,2024-12-03 11:45:00,2,True,False,False,False,True
144,2024-12-03 12:00:00,2,True,False,False,False,True
145,2024-12-03 12:15:00,3,True,False,False,True,True
146,2024-12-03 12:30:00,2,True,False,False,True,False
147,2024-12-03 12:45:00,2,True,False,True,False,False
148,2024-12-03 13:00:00,1,True,False,False,False,False
149,2024-12-03 13:15:00,1,True,False,False,False,False
150,2024-12-03 13:30:00,1,True,False,False,False,False
151,2024-12-03 13:45:00,2,True,False,False,True,False
152,2024-12-03 14:00:00,1,True,False,False,False,False
153,2024-12-03 14:15:00,2,True,False,True,False,False
154,2024-12-03 14:30:00,2,True,False,True,False,False
155,2024-12-03 14:45:00,2,True,False,True,False,False
156,2024-12-03 15:00:00,2,True,False,True,False,False
157,2024-12-03 15:15:00,1,True,False,False,False,False
158,2024-12-03 15:30:00,3,True,False,False,True,True
159,2024-12-03 15:45:00,3,True,False,False,True,True
160,2024-12-03 16:00:00,2,True,False,False,False,True
161,2024-12-03 16:15:00,3,True,False,False,True,True
162,2024-12-03 16:30:00,2,True,False,False,False,True
163,2024-12-03 16:45:00,2,True,False,False,False,True
164,2024-12-03 17:00:00,3,True,False,True,False,True
165,2024-12-03 17:15:00,3,True,False,True,False,True
166,2024-12-03 17:30:00,3,True,False,True,False,True
167,2024-12-03 17:45:00,2,True,False,False,False,True
168,2024-12-03 18:00:00,3,True,False,False,True,True
169,2024-12-03 18:15:00,2,True,False,False,False,True
170,2024-12-03 18:30:00,2,True,False,False,False,True
171,2024-12-03 18:45:00,3,True,False,False,True,True
172,2024-12-03 19:00:00,2,True,False,False,True,False
173,2024-12-03 19:15:00,2,True,False,False,True,False
174,2024-12-03 19:30:00,1,True,False,False,False,False
175,2024-12-03 19:45:00,2,True,False,False,True,False
176,2024-12-03 20:00:00,2,True,False,False,True,False
177,2024-12-03 20:15:00,1,True,False,False,False,False
178,2024-12-03 20:30:00,1,True,False,False,False,False
179,2024-12-03 20:45:00,1,True,False,False,False,False
180,2024-12-03 21:00:00,1,True,False,False,False,False
181,2024-12-03 21:15:00,2,True,False,True,False,False
182,2024-12-03 21:30:00,1,True,False,False,False,False
183,2024-12-03 21:45:00,2,True,False,True,False,False
184,2024-12-03 22:00:00,2,True,False,True,False,False
185,2024-12-03 22:15:00,1,True,False,False,False,False
186,2024-12-03 22:30:00,1,True,False,False,False,False
187,2024-12-03 22:45:00,1,True,False,False,False,False
188,2024-12-03 23:00:00,1,True,False,False,False,False
189,2024-12-03 23:15:00,1,True,False,False,False,False
190,2024-12-03 23:30:00,2,True,False,False,True,False
191,2024-12-03 23:45:00,1,True,False,False,False,False
192,2024-12-04 00:00:00,2,True,False,True,False,False
193,2024-12-04 00:15:00,2,True,False,True,False,False
194,2024-12-04 00:30:00,1,True,False,False,False,False
195,2024-12-04 00:45:00,1,True,False,False,False,False
196,2024-12-04 01:00:00,2,True,False,False,True,False
197,2024-12-04 01:15:00,1,True,False,False,False,False
198,2024-12-04 01:30:00,1,True,False,False,False,False
199,2024-12-04 01:45:00,2,True,False,False,True,False
200,2024-12-04 02:00:00,2,True,False,False,True,False
201,2024-12-04 02:15:00,2,True,False,True,False,False
202,2024-12-04 02:30:00,3,True,False,True,False,True
203,2024-12-04 02:45:00,2,True,False,False,False,True
204,2024-12-04 03:00:00,2,True,False,False,False,True
205,2024-12-04 03:15:00,3,True,False,False,True,True
206,2024-12-04 03:30:00,3,True,False,False,True,True
207,2024-12-04 03:45:00,2,True,False,False,False,True
208,2024-12-04 04:00:00,2,True,False,False,False,True
209,2024-12-04 04:15:00,2,True,False,False,False,True
210,2024-12-04 04:30:00,2,True,False,False,False,True
211,2024-12-04 04:45:00,3,True,False,True,False,True
212,2024-12-04 05:00:00,3,True,False,True,False,True
213,2024-12-04 05:15:00,3,True,False,True,False,True
214,2024-12-04 05:30:00,3,True,False,True,False,True
215,2024-12-04 05:45:00,2,True,False,False,False,True
216,2024-12-04 06:00:00,3,True,False,False,True,True
217,2024-12-04 06:15:00,3,True,False,False,True,True
218,2024-12-04 06:30:00,2,True,False,False,True,False
219,2024-12-04 06:45:00,2,True,False,False,True,False
220,2024-12-04 07:00:00,1,True,False,False,False,False
221,2024-12-04 07:15:00,2,True,False,False,True,False
222,2024-12-04 07:30:00,2,True,False,False,True,False
223,2024-12-04 07:45:00,1,True,False,False,False,False
224,2024-12-04 08:00:00,1,True,False,False,False,False
225,2024-12-04 08:15:00,1,True,False,False,False,False
226,2024-12-04 08:30:00,1,True,False,False,False,False
227,2024-12-04 08:45:00,2,True,False,False,True,False
228,2024-12-04 09:00:00,2,True,False,False,False,True
229,2024-12-04 09:15:00,2,True,False,False,False,True
230,2024-12-04 09:30:00,3,True,False,True,False,True
231,2024-12-04 09:45:00,3,True,False,True,False,True
232,2024-12-04 10:00:00,3,True,False,True,False,True
233,2024-12-04 10:15:00,3,True,False,True,False,True
234,2024-12-04 10:30:00,3,True,False,True,False,True
235,2024-12-04 10:45:00,3,True,False,True,False,True
236,2024-12-04 11:00:00,3,True,False,True,False,True
237,2024-12-04 11:15:00,2,True,False,False,False,True
238,2024-12-04 11:30:00,3,True,False,False,True,True
239,2024-12-04 11:45:00,3,True,False,False,True,True
240,2024-12-04 12:00:00,3,True,False,False,True,True
241,2024-12-04 12:15:00,3,True,False,False,True,True
242,2024-12-04 12:30:00,2,True,False,False,False,True
243,2024-12-04 12:45:00,2,True,False,False,False,True
244,2024-12-04 13:00:00,1,True,False,False,False,False
245,2024-12-04 13:15:00,1,True,False,False,False,False
246,2024-12-04 13:30:00,2,True,False,False,True,False
247,2024-12-04 13:45:00,1,True,False,False,False,False
248,2024-12-04 14:00:00,1,True,False,False,False,False
249,2024-12-04 14:15:00,1,True,False,False,False,False
250,2024-12-04 14:30:00,2,True,False,True,False,False
251,2024-12-04 14:45:00,2,True,False,True,False,False
252,2024-12-04 15:00:00,2,True,False,True,False,False
253,2024-12-04 15:15:00,2,True,False,True,False,False
254,2024-12-04 15:30:00,3,True,False,True,False,True
255,2024-12-04 15:45:00,3,True,False,True,False,True
256,2024-12-04 16:00:00,3,True,False,True,False,True
257,2024-12-04 16:15:00,2,True,False,False,False,True
258,2024-12-04 16:30:00,3,True,False,False,True,True
259,2024-12-04 16:45:00,3,True,False,False,True,True
260,2024-12-04 17:00:00,3,True,False,False,True,True
261,2024-12-04 17:15:00,3,True,False,False,True,True
262,2024-12-04 17:30:00,2,True,False,False,False,True
263,2024-12-04 17:45:00,2,True,False,False,False,True
264,2024-12-04 18:00:00,2,True,False,False,False,True
265,2024-12-04 18:15:00,2,True,False,False,False,True
266,2024-12-04 18:30:00,2,True,False,False,False,True
267,2024-12-04 18:45:00,2,True,False,False,False,True
268,2024-12-04 19:00:00,1,True,False,False,False,False
269,2024-12-04 19:15:00,2,True,False,False,True,False
270,2024-12-04 19:30:00,2,True,False,False,True,False
271,2024-12-04 19:45:00,1,True,False,False,False,False
272,2024-12-04 20:00:00,1,True,False,False,False,False
273,2024-12-04 20:15:00,1,True,False,False,False,False
274,2024-12-04 20:30:00,2,True,False,True,False,False
275,2024-12-04 20:45:00,2,True,False,True,False,False
276,2024-12-04 21:00:00,2,True,False,True,False,False
277,2024-12-04 21:15:00,2,True,False,True,False,False
278,2024-12-04 21:30:00,1,True,False,False,False,False
279,2024-12-04 21:45:00,1,True,False,False,False,False
280,2024-12-04 22:00:00,1,True,False,False,False,False
281,2024-12-04 22:15:00,2,True,False,True,False,False
282,2024-12-04 22:30:00,1,True,False,False,False,False
283,2024-12-04 22:45:00,2,True,False,False,True,False
284,2024-12-04 23:00:00,1,True,False,False,False,False
285,2024-12-04 23:15:00,1,True,False,False,False,False
286,2024-12-04 23:30:00,1,True,False,False,False,False
287,2024-12-04 23:45:00,1,True,False,False,False,False
288,2024-12-05 00:00:00,1,True,False,False,False,False
289,2024-12-05 00:15:00,1,True,False,False,False,False
290,2024-12-05 00:30:00,2,True,False,False,True,False
291,2024-12-05 00:45:00,2,True,False,False,True,False
292,2024-12-05 01:00:00,1,True,False,False,False,False
293,2024-12-05 01:15:00,2,True,False,False,True,False
